"filename", "language", "JSON", "XML", "C#", "comment", "blank", "total"
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\CBS_Azure_Functions.csproj", "XML", 0, 36, 0, 0, 0, 36
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\ArrayHelper.cs", "C#", 0, 0, 15, 0, 1, 16
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\CBSUtils.cs", "C#", 0, 0, 93, 2, 18, 113
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\CS2AFHelperClasses.cs", "C#", 0, 0, 85, 8, 15, 108
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\CosmosTable.cs", "C#", 0, 0, 276, 7, 23, 306
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\DurableTaskExecuter.cs", "C#", 0, 0, 153, 6, 22, 181
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\ErrorHandler.cs", "C#", 0, 0, 318, 1, 72, 391
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\JsonPlugin.cs", "C#", 0, 0, 51, 0, 9, 60
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Models\AzureChatDataProvider.cs", "C#", 0, 0, 334, 0, 43, 377
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Models\EntityPageResult.cs", "C#", 0, 0, 10, 0, 1, 11
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Models\FunctionCalendarDependencyResult.cs", "C#", 0, 0, 11, 0, 1, 12
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Models\IChatDataProvider.cs", "C#", 0, 0, 22, 0, 13, 35
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Models\StoreTitleExecuteResult.cs", "C#", 0, 0, 9, 0, 1, 10
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\AchievementsModule.cs", "C#", 0, 0, 179, 0, 25, 204
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\AuthModule.cs", "C#", 0, 0, 203, 6, 19, 228
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\BaseAzureModule.cs", "C#", 0, 0, 487, 4, 52, 543
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\BattlePassModule.cs", "C#", 0, 0, 1290, 33, 139, 1462
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\CalendarModule.cs", "C#", 0, 0, 733, 16, 86, 835
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ChatModule.cs", "C#", 0, 0, 993, 9, 157, 1159
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ClanEconomyModule.cs", "C#", 0, 0, 511, 5, 64, 580
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ClanExpModule.cs", "C#", 0, 0, 110, 1, 14, 125
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ClanModule.cs", "C#", 0, 0, 2229, 34, 291, 2554
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ClanStatisticModule.cs", "C#", 0, 0, 313, 1, 36, 350
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ClanTaskModule.cs", "C#", 0, 0, 411, 20, 40, 471
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\CraftModule.cs", "C#", 0, 0, 547, 10, 59, 616
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\CurrencyModule.cs", "C#", 0, 0, 271, 1, 41, 313
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\EventModule.cs", "C#", 0, 0, 1374, 2, 153, 1529
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ExpirienceModule.cs", "C#", 0, 0, 240, 3, 29, 272
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\FriendsModule.cs", "C#", 0, 0, 499, 2, 69, 570
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\HealthModule.cs", "C#", 0, 0, 79, 7, 12, 98
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\InAppPurchaseModule.cs", "C#", 0, 0, 145, 0, 18, 163
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\InventoryModule.cs", "C#", 0, 0, 779, 0, 70, 849
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ItemsModule.cs", "C#", 0, 0, 362, 0, 46, 408
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\MatchmakingModule.cs", "C#", 0, 0, 159, 0, 33, 192
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\NotificationModule.cs", "C#", 0, 0, 454, 6, 50, 510
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ProfileExpModule.cs", "C#", 0, 0, 115, 0, 9, 124
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ProfileModule.cs", "C#", 0, 0, 961, 7, 113, 1081
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\ProfileTaskModule.cs", "C#", 0, 0, 434, 16, 50, 500
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\RewardModule.cs", "C#", 0, 0, 149, 6, 8, 163
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\RouletteModule.cs", "C#", 0, 0, 107, 2, 12, 121
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\SpecialOfferModule.cs", "C#", 0, 0, 582, 16, 58, 656
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\StatisticModule.cs", "C#", 0, 0, 423, 1, 56, 480
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\StoreModule.cs", "C#", 0, 0, 829, 24, 86, 939
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\TaskModule.cs", "C#", 0, 0, 519, 27, 61, 607
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\Modules\TitleDataModule.cs", "C#", 0, 0, 85, 0, 10, 95
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\NicknameHelper.cs", "C#", 0, 0, 11, 0, 1, 12
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\PlayfabHelper.cs", "C#", 0, 0, 122, 0, 19, 141
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\ProfanityList.cs", "C#", 0, 0, 2209, 0, 1, 2210
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\StorageTable.cs", "C#", 0, 0, 464, 2, 42, 508
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\TableBattlePassAssistant.cs", "C#", 0, 0, 211, 2, 15, 228
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\TableClanAssistant.cs", "C#", 0, 0, 385, 0, 31, 416
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\TableEventsAssistant.cs", "C#", 0, 0, 70, 0, 5, 75
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\TableNotificationAssistant.cs", "C#", 0, 0, 281, 2, 37, 320
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\TableProfileAssistant.cs", "C#", 0, 0, 344, 1, 24, 369
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\TaskUtils.cs", "C#", 0, 0, 153, 7, 12, 172
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\Scripts\TimePeriodAssistant.cs", "C#", 0, 0, 263, 3, 17, 283
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\host.json", "JSON", 3, 0, 0, 0, 0, 3
"d:\Unity\Unity Projects\Enter_The_Dungeon\CBSAzureFunctionsProject\omnisharp.json", "JSON", 1, 0, 0, 0, 0, 1
"Total", "-", 4, 36, 22462, 300, 2389, 25191